"ligne","code_propose","proba","decision"
118,"01.1.2.2",0.598839376572889,"Code automatique"
119,"01.2.9",0.626928342433624,"Code automatique"
120,"01.1.8.5",0.626928342433624,"Code automatique"
121,"01.1.6.4",0.626928342433624,"Code automatique"
122,"01.1.6.5",0.729373472094574,"Code automatique"
123,"07.2.1.1",0.523504296398258,"Code automatique"
124,"11.1.1.2",0.523504296398258,"Code automatique"
125,"03.1.2",0.570633891651488,"Code automatique"
126,"01.2.1",0.729373472094574,"Code automatique"
127,"07.2.2.2",0.729373472094574,"Code automatique"
128,"12.2.2",0.523504296398258,"Code automatique"
129,"99.2",0.324432068885534,"Code automatique"
130,"11.1.1.2",0.626928342433624,"Code automatique"
131,"01.1.2.2",0.598839376572889,"Code automatique"
132,"01.1.6.5",0.729373472094574,"Code automatique"
133,"01.2.6",0.266899765803598,"Reprise manuelle / LLM"
134,"03.1.2",0.523504296398258,"Code automatique"
135,"05.6.1.1",0.626928342433624,"Code automatique"
136,"11.1.2.9",0.523504296398258,"Code automatique"
137,"01.1.3.1",0.729373472094574,"Code automatique"
138,"06.2.1",0.523504296398258,"Code automatique"
139,"02.1.3",0.570633891651488,"Code automatique"
140,"01.1.8.6",0.729373472094574,"Code automatique"
141,"07.2.4.1",0.570633891651488,"Code automatique"
142,"01.1.7.2",0.729373472094574,"Code automatique"
143,"07.2.3",0.729373472094574,"Code automatique"
144,"09.7.4",0.400772199677103,"Code automatique"
145,"09.7.4",0.729373472094574,"Code automatique"
146,"01.1.2.5",0.729373472094574,"Code automatique"
147,"12.1.3",0.673079021312438,"Code automatique"
148,"01.1.7.2",0.673079021312438,"Code automatique"
149,"11.1.1.1",0.324432068885534,"Code automatique"
150,"01.1.8.1",0.570633891651488,"Code automatique"
151,"01.1.8.6",0.729373472094574,"Code automatique"
152,"01.1.8.9",0.324432068885534,"Code automatique"
153,"09.6.1",0.729373472094574,"Code automatique"
154,"01.1.9.3",0.729373472094574,"Code automatique"
155,"01.2.1",0.324432068885534,"Code automatique"
156,"04.3.1.1",0.523504296398258,"Code automatique"
157,"01.1.6.3",0.729373472094574,"Code automatique"
158,"01.1.4.5",0.626928342433624,"Code automatique"
159,"09.6.2",0.266899765803598,"Reprise manuelle / LLM"
160,"01.1.7.4",0.673079021312438,"Code automatique"
161,"05.6.1.9",0.729373472094574,"Code automatique"
162,"01.1.8.1",0.621018644967864,"Code automatique"
163,"13.1.3.1",0.729373472094574,"Code automatique"
164,"09.5.1",0.266899765803598,"Reprise manuelle / LLM"
165,"01.1.8.3",0.626928342433624,"Code automatique"
166,"09.4.5",0.626928342433624,"Code automatique"
167,"09.2.1.1",0.729373472094574,"Code automatique"
168,"09.3.1.2",0.266899765803598,"Reprise manuelle / LLM"
169,"01.2.6",0.266899765803598,"Reprise manuelle / LLM"
170,"11.1.1.1",0.523504296398258,"Code automatique"
171,"08.1.3.2",0.626928342433624,"Code automatique"
172,"01.1.6.1",0.324432068885534,"Code automatique"
173,"11.2.0.1",0.626928342433624,"Code automatique"
174,"01.1.3.2",0.598839376572889,"Code automatique"
175,"01.1.6.3",0.729373472094574,"Code automatique"
176,"01.1.2.2",0.621018644967864,"Code automatique"
177,"01.1.1.1",0.523504296398258,"Code automatique"
178,"01.1.2.2",0.729373472094574,"Code automatique"
179,"01.2.2",0.729373472094574,"Code automatique"
180,"01.1.1.5",0.729373472094574,"Code automatique"
181,"01.2.1",0.729373472094574,"Code automatique"
182,"09.2.1.2",0.266899765803598,"Reprise manuelle / LLM"
183,"01.1.4.8",0.729373472094574,"Code automatique"
184,"01.1.7.1",0.729373472094574,"Code automatique"
185,"12.1.4.1",0.729373472094574,"Code automatique"
186,"01.1.7.2",0.729373472094574,"Code automatique"
187,"04.5.1",0.729373472094574,"Code automatique"
188,"01.1.3.3",0.626928342433624,"Code automatique"
189,"01.1.7.2",0.729373472094574,"Code automatique"
190,"01.1.9.1",0.729373472094574,"Code automatique"
191,"01.1.1.3",0.626928342433624,"Code automatique"
192,"01.1.1.3",0.729373472094574,"Code automatique"
193,"01.2.6",0.723463774628814,"Code automatique"
194,"07.2.3",0.729373472094574,"Code automatique"
195,"01.1.2.2",0.459955268245578,"Code automatique"
196,"98.1.1",0.523504296398258,"Code automatique"
197,"01.1.2.3",0.626928342433624,"Code automatique"
198,"01.1.2.2",0.621018644967864,"Code automatique"
199,"13.1.2",0.626928342433624,"Code automatique"
200,"01.1.6.4",0.729373472094574,"Code automatique"
201,"11.1.1.1",0.626928342433624,"Code automatique"
202,"01.1.8.3",0.626928342433624,"Code automatique"
203,"01.1.7.2",0.729373472094574,"Code automatique"
204,"01.1.1.5",0.621018644967864,"Code automatique"
205,"01.1.3.1",0.626928342433624,"Code automatique"
206,"05.6.1.1",0.626928342433624,"Code automatique"
207,"01.1.1.5",0.626928342433624,"Code automatique"
208,"01.1.1.3",0.626928342433624,"Code automatique"
209,"01.1.2.2",0.729373472094574,"Code automatique"
210,"01.1.4.5",0.324432068885534,"Code automatique"
211,"09.3.2.2",0.729373472094574,"Code automatique"
212,"09.3.1.2",0.729373472094574,"Code automatique"
213,"12.1.2",0.729373472094574,"Code automatique"
214,"09.2.1.1",0.626928342433624,"Code automatique"
215,"05.1.1.1",0.570633891651488,"Code automatique"
216,"04.5.5",0.523504296398258,"Code automatique"
217,"01.1.4.5",0.729373472094574,"Code automatique"
218,"13.1.2",0.729373472094574,"Code automatique"
219,"04.3.1.1",0.729373472094574,"Code automatique"
220,"07.3",0.523504296398258,"Code automatique"
221,"13.1.2",0.729373472094574,"Code automatique"
222,"01.2.5",0.729373472094574,"Code automatique"
223,"01.1.7.2",0.729373472094574,"Code automatique"
224,"09.3.1.1",0.459955268245578,"Code automatique"
225,"01.1.9.1",0.570633891651488,"Code automatique"
226,"06.2",0.598839376572889,"Code automatique"
227,"09.7.1",0.570633891651488,"Code automatique"
228,"01.1.9.1",0.729373472094574,"Code automatique"
229,"09.4.6.2",0.723463774628814,"Code automatique"
230,"01.1.9.1",0.570633891651488,"Code automatique"
231,"01.1.7.1",0.570633891651488,"Code automatique"
232,"01.1.6.4",0.729373472094574,"Code automatique"
233,"01.1.2.2",0.729373472094574,"Code automatique"
234,"05.6.1.1",0.729373472094574,"Code automatique"
235,"01.1.7.2",0.729373472094574,"Code automatique"
236,"01.1.6.4",0.459955268245578,"Code automatique"
237,"09.6.2",0.621018644967864,"Code automatique"
238,"01.1.9.1",0.626928342433624,"Code automatique"
239,"01.1.1.5",0.729373472094574,"Code automatique"
240,"06.1.1.1",0.459955268245578,"Code automatique"
241,"09.3.2.2",0.570633891651488,"Code automatique"
242,"11.1.1.1",0.673079021312438,"Code automatique"
243,"01.2.5",0.459955268245578,"Code automatique"
244,"09.7.2.1",0.626928342433624,"Code automatique"
245,"01.1.8.5",0.570633891651488,"Code automatique"
246,"01.1.7.4",0.729373472094574,"Code automatique"
247,"01.1.7.2",0.729373472094574,"Code automatique"
248,"01.1.7.5",0.729373472094574,"Code automatique"
249,"01.1.1.3",0.729373472094574,"Code automatique"
250,"01.1.4.7",0.570633891651488,"Code automatique"
251,"01.1.2.3",0.729373472094574,"Code automatique"
252,"07.2.4.2",0.729373472094574,"Code automatique"
253,"12.2.2",0.626928342433624,"Code automatique"
254,"13.1.2",0.729373472094574,"Code automatique"
255,"11.1.1.1",0.626928342433624,"Code automatique"
256,"13.3.0.1",0.570633891651488,"Code automatique"
257,"01.2.1",0.570633891651488,"Code automatique"
258,"01.1.7.2",0.598839376572889,"Code automatique"
259,"09.2.2.1",0.626928342433624,"Code automatique"
260,"01.1.1.3",0.729373472094574,"Code automatique"
261,"01.1.8.9",0.459955268245578,"Code automatique"
262,"01.1.1.5",0.673079021312438,"Code automatique"
263,"01.1.3.1",0.523504296398258,"Code automatique"
264,"01.1.7.9",0.621018644967864,"Code automatique"
265,"98.2",0.523504296398258,"Code automatique"
266,"01.1.4.7",0.673079021312438,"Code automatique"
267,"01.1.1.3",0.729373472094574,"Code automatique"
268,"01.1.9.3",0.729373472094574,"Code automatique"
269,"11.1.1.1",0.723463774628814,"Code automatique"
270,"05.6.1.9",0.523504296398258,"Code automatique"
271,"01.1.9.1",0.626928342433624,"Code automatique"
272,"07.2.1.1",0.266899765803598,"Reprise manuelle / LLM"
273,"01.1.6.3",0.729373472094574,"Code automatique"
274,"13.2.9.1",0.729373472094574,"Code automatique"
275,"05.6.1.9",0.523504296398258,"Code automatique"
276,"01.1.1.3",0.729373472094574,"Code automatique"
277,"01.1.7.9",0.459955268245578,"Code automatique"
278,"01.1.4.5",0.626928342433624,"Code automatique"
279,"05.4.0.3",0.570633891651488,"Code automatique"
280,"01.1.7.4",0.729373472094574,"Code automatique"
281,"01.1.4.7",0.570633891651488,"Code automatique"
282,"01.1.4.8",0.673079021312438,"Code automatique"
283,"13.1.2",0.626928342433624,"Code automatique"
284,"02.1.2.1",0.626928342433624,"Code automatique"
285,"06.4.1",0.266899765803598,"Reprise manuelle / LLM"
286,"01.1.1.3",0.626928342433624,"Code automatique"
287,"13.1.3.1",0.729373472094574,"Code automatique"
288,"99.2",0.621018644967864,"Code automatique"
289,"01.1.1.4",0.570633891651488,"Code automatique"
290,"05.6.1.1",0.626928342433624,"Code automatique"
291,"01.1.7.1",0.729373472094574,"Code automatique"
292,"04.3.1.1",0.626928342433624,"Code automatique"
293,"01.1.5.2",0.729373472094574,"Code automatique"
294,"07.2.2.1",0.729373472094574,"Code automatique"
295,"01.1.9.1",0.523504296398258,"Code automatique"
296,"01.1.1.3",0.626928342433624,"Code automatique"
297,"13.9.0.9",0.324432068885534,"Code automatique"
298,"09.7.4",0.570633891651488,"Code automatique"
299,"01.1.9.1",0.729373472094574,"Code automatique"
300,"01.1.4.6",0.729373472094574,"Code automatique"
301,"09.3.2.2",0.729373472094574,"Code automatique"
302,"01.1.9.3",0.729373472094574,"Code automatique"
303,"04.3.2",0.673079021312438,"Code automatique"
304,"09.3.1.2",0.729373472094574,"Code automatique"
305,"01.1.9.1",0.729373472094574,"Code automatique"
306,"01.1.3.3",0.570633891651488,"Code automatique"
307,"05.1.1.4",0.523504296398258,"Code automatique"
308,"13.1.2",0.324432068885534,"Code automatique"
309,"04.4.1.1",0.523504296398258,"Code automatique"
310,"98.1.2",0.324432068885534,"Code automatique"
311,"01.1.4.6",0.729373472094574,"Code automatique"
312,"01.1.1.3",0.570633891651488,"Code automatique"
313,"01.1.9.1",0.626928342433624,"Code automatique"
314,"01.1.4.6",0.626928342433624,"Code automatique"
315,"01.1.4.5",0.729373472094574,"Code automatique"
316,"01.1.2.5",0.523504296398258,"Code automatique"
317,"98.2",0.523504296398258,"Code automatique"
318,"13.1.2",0.324432068885534,"Code automatique"
319,"09.3.1.2",0.729373472094574,"Code automatique"
320,"01.1.2.4",0.673079021312438,"Code automatique"
321,"01.1.7.2",0.523504296398258,"Code automatique"
322,"02.3.0.9",0.723463774628814,"Code automatique"
323,"01.1.7.9",0.626928342433624,"Code automatique"
324,"01.1.3.1",0.570633891651488,"Code automatique"
325,"01.1.4.6",0.729373472094574,"Code automatique"
326,"01.1.8.9",0.523504296398258,"Code automatique"
327,"01.1.6.3",0.729373472094574,"Code automatique"
328,"01.1.7.2",0.729373472094574,"Code automatique"
