ligne,code_propose,proba,decision
113,01.1.1.4,0.03945828418568131,Code automatique
114,01.1.1.3,0.9917458669635916,Code automatique
115,01.1.1.3,0.9350395985647945,Code automatique
116,07.2.1.3,0.03679575922954069,Code automatique
117,11.1.1.2,0.37271022488512157,Code automatique
118,01.1.4.5,0.01271764611036072,Code automatique
119,01.2.9,0.4501221200962286,Code automatique
120,01.1.8.5,0.2988871501444855,Code automatique
121,01.1.6.4,0.5618923355712099,Code automatique
122,01.1.6.5,0.9987845850981356,Code automatique
123,98.4,0.14116554420110258,Code automatique
124,11.1.1.1,0.05235311165223475,Code automatique
125,03.1.2,0.4451814930728686,Code automatique
126,01.2.1,0.9682568565447309,Code automatique
127,07.2.2.2,0.8742252448883173,Code automatique
128,99.4,0.11422189843006668,Code automatique
129,99.2,0.32529307870313756,Code automatique
130,11.1.1.2,0.5344395499587216,Code automatique
131,01.1.4.5,0.01271764611036072,Code automatique
132,01.1.6.5,0.9909458444736807,Code automatique
133,01.1.2.2,0.0203025315663356,Code automatique
134,03.1.2.3,0.059810895019075994,Code automatique
135,05.6.1.1,0.35762171145264865,Code automatique
136,11.2.0.1,0.0778600424231335,Code automatique
137,01.1.3.1,0.9647060321107562,Code automatique
138,09.6.2,0.03152564837600956,Code automatique
139,02.1.3,0.505771974308004,Code automatique
140,01.1.8.6,0.9689910515795375,Code automatique
141,07.2.4.1,0.6172931453410162,Code automatique
142,01.1.7.2,0.9697127577664298,Code automatique
143,07.2.3,0.9901760633379477,Code automatique
144,09.7.4,0.22020014488943768,Code automatique
145,09.7.4,0.9545617844606655,Code automatique
146,01.1.2.5,0.9913851842211076,Code automatique
147,12.1.3,0.5732653338998032,Code automatique
148,01.1.7.9,0.3336909380166838,Code automatique
149,11.1.1.1,0.05369803386037758,Code automatique
150,01.1.8.1,0.5211021371138498,Code automatique
151,01.1.8.6,0.8484121586152591,Code automatique
152,01.1.8.9,0.14646535899438773,Code automatique
153,09.6.1,0.9981122963032667,Code automatique
154,01.1.9.3,0.9994443778011224,Code automatique
155,01.2.1,0.1041213054654313,Code automatique
156,05.6.1.9,0.47657911330238173,Code automatique
157,01.1.6.3,0.9759389446450009,Code automatique
158,01.1.4.5,0.3954417442320688,Code automatique
159,01.1.1.3,0.06424570545598059,Code automatique
160,01.1.7.4,0.8043912807385531,Code automatique
161,05.6.1.9,0.9300326230374613,Code automatique
162,01.1.8.1,0.2909139177312055,Code automatique
163,13.1.3.1,0.9950221799644183,Code automatique
164,01.1.2.3,0.04422249521044838,Code automatique
165,01.1.8.3,0.5266540683693649,Code automatique
166,09.4.5,0.5806291731685507,Code automatique
167,09.2.1.1,0.9815891745542323,Code automatique
168,01.1.9.1,0.034380211382315215,Code automatique
169,09.2.2.2,0.04297127985114928,Code automatique
170,01.1.9.1,0.09333512294091578,Code automatique
171,08.1.3.2,0.4949630848877559,Code automatique
172,01.1.6.1,0.08114192456124197,Code automatique
173,11.2.0.1,0.6096734336430388,Code automatique
174,01.1.9.1,0.4958888832598289,Code automatique
175,01.1.6.3,0.8846662042328688,Code automatique
176,01.1.2.2,0.46217082625667577,Code automatique
177,01.1.4.7,0.29514960464368273,Code automatique
178,01.1.2.2,0.9148221668871906,Code automatique
179,01.2.2,0.9681292465474839,Code automatique
180,01.1.1.5,0.9962319308609711,Code automatique
181,01.2.1,0.9839861550492774,Code automatique
182,13.1.2,0.07866259434787523,Code automatique
183,01.1.4.8,0.9992486258629976,Code automatique
184,01.1.7.1,0.9933854176795408,Code automatique
185,12.1.4.1,0.842143168775547,Code automatique
186,01.1.7.2,0.9921263753383156,Code automatique
187,04.5.1,0.9361542493890946,Code automatique
188,01.1.3.3,0.32615634810340666,Code automatique
189,01.1.7.2,0.9973798298122731,Code automatique
190,01.1.9.1,0.8458454156294123,Code automatique
191,01.1.1.3,0.5720897176806045,Code automatique
192,01.1.1.3,0.9976540220244279,Code automatique
193,01.2.6,0.5154077620001455,Code automatique
194,07.2.3,0.8649757239423637,Code automatique
195,01.1.2.2,0.2846528776878678,Code automatique
196,11.1.1.2,0.13099273877810025,Code automatique
197,01.1.2.3,0.591282125546787,Code automatique
198,01.1.2.2,0.39046032012384385,Code automatique
199,13.1.2,0.4344059881326467,Code automatique
200,01.1.6.4,0.9924352514215475,Code automatique
201,11.1.1.1,0.5192518650290819,Code automatique
202,01.1.8.3,0.3822329005068915,Code automatique
203,01.1.7.2,0.9947490311182557,Code automatique
204,01.1.1.5,0.3394299040804902,Code automatique
205,01.1.3.1,0.4064635755522536,Code automatique
206,05.6.1.1,0.671723190636639,Code automatique
207,01.1.1.5,0.5011175021708799,Code automatique
208,01.1.1.3,0.37346592030932935,Code automatique
209,01.1.2.2,0.9405524074072084,Code automatique
210,01.1.4.5,0.09888291999339041,Code automatique
211,09.3.2.2,0.8809940769075356,Code automatique
212,09.3.1.2,0.9996046710309355,Code automatique
213,12.1.2,0.8016790889622123,Code automatique
214,09.2.1.1,0.3874370823014225,Code automatique
215,05.1.1.1,0.40263101514842425,Code automatique
216,01.1.1.3,0.23563737695472534,Code automatique
217,01.1.4.5,0.9114160468283812,Code automatique
218,13.1.2,0.9301741903875488,Code automatique
219,04.3.1.1,0.8710391020425555,Code automatique
220,07.3.5,0.034553628450788236,Code automatique
221,13.1.2,0.9439918688602089,Code automatique
222,01.2.5,0.9440498761129953,Code automatique
223,01.1.7.2,0.9960668361435385,Code automatique
224,09.3.1.1,0.49463958913170597,Code automatique
225,01.1.2.2,0.23461934567354437,Code automatique
226,05.6.1.1,0.13689799649561346,Code automatique
227,09.7.1,0.42388914931485555,Code automatique
228,01.1.9.1,0.9915584900768355,Code automatique
229,09.4.6.2,0.651297827294368,Code automatique
230,01.1.7.6,0.33370680976821626,Code automatique
231,01.1.7.1,0.33976243002079143,Code automatique
232,01.1.6.4,0.9857496164482833,Code automatique
233,01.1.2.2,0.9338099288565894,Code automatique
234,05.6.1.1,0.9025635854629216,Code automatique
235,01.1.7.2,0.9950784761488269,Code automatique
236,01.1.6.4,0.308040972610408,Code automatique
237,09.6.2,0.587086020221599,Code automatique
238,01.1.9.1,0.4557518806987348,Code automatique
239,01.1.1.5,0.9914984602660265,Code automatique
240,06.1.1.1,0.3415328629349066,Code automatique
241,09.4.5,0.2371656147878476,Code automatique
242,11.1.1.1,0.575224628397639,Code automatique
243,01.2.5,0.24981422227619599,Code automatique
244,09.7.2.1,0.6556619799217936,Code automatique
245,01.1.8.5,0.2940827711044977,Code automatique
246,01.1.7.4,0.9081251830784182,Code automatique
247,01.1.7.2,0.9982055693235143,Code automatique
248,01.1.7.5,0.9824125625138828,Code automatique
249,01.1.1.3,0.9979093373917148,Code automatique
250,01.1.4.7,0.3338428728349168,Code automatique
251,01.1.2.3,0.7969139320962786,Code automatique
252,07.2.4.2,0.9944945071995396,Code automatique
253,12.2.2,0.5274070428044036,Code automatique
254,13.1.2,0.9949406389683033,Code automatique
255,11.1.1.1,0.5912437992708816,Code automatique
256,13.3.0.1,0.40512836710134387,Code automatique
257,01.2.1,0.6230450459671779,Code automatique
258,01.1.7.9,0.23101427142993927,Code automatique
259,09.2.2.1,0.5020825693728882,Code automatique
260,01.1.1.3,0.9651415833335976,Code automatique
261,01.1.8.9,0.231267687988678,Code automatique
262,01.1.9.1,0.494051048320405,Code automatique
263,01.1.3.2,0.27434789938870796,Code automatique
264,01.1.7.9,0.372101484953818,Code automatique
265,05.1.1.4,0.0394967330041869,Code automatique
266,01.1.4.7,0.8859702447354819,Code automatique
267,01.1.1.3,0.9952951742202314,Code automatique
268,01.1.9.3,0.9994981412419826,Code automatique
269,11.1.1.1,0.6143785275933521,Code automatique
270,13.2.9.1,0.26860278704932333,Code automatique
271,01.1.9.1,0.5733412881188349,Code automatique
272,07.1.1.1,0.0657647857258675,Code automatique
273,01.1.6.3,0.8017364941606022,Code automatique
274,13.2.9.1,0.8740037829817243,Code automatique
275,05.5.2.1,0.04634241151379438,Code automatique
276,01.1.1.3,0.879205941926003,Code automatique
277,01.1.7.9,0.3401942353629892,Code automatique
278,01.1.4.5,0.5432526179135626,Code automatique
279,05.4.0.3,0.2607278879074348,Code automatique
280,01.1.7.4,0.9979104510530173,Code automatique
281,01.1.4.7,0.4452299809869545,Code automatique
282,01.1.4.6,0.1983283045409473,Code automatique
283,13.1.2,0.7615593805672235,Code automatique
284,02.1.2.1,0.3941584739447885,Code automatique
285,11.1.1.1,0.05686668333540297,Code automatique
286,01.1.1.3,0.24212733400906197,Code automatique
287,13.1.3.1,0.9868725379397766,Code automatique
288,99.2,0.70116782894242,Code automatique
289,01.1.1.4,0.512999805957913,Code automatique
290,05.6.1.1,0.45961128606103663,Code automatique
291,01.1.7.1,0.9800076963608711,Code automatique
292,04.3.1.1,0.507135249404862,Code automatique
293,01.1.5.2,0.9968770908457399,Code automatique
294,07.2.2.1,0.9955274642149186,Code automatique
295,01.1.7.9,0.07352500855926689,Code automatique
296,01.1.1.3,0.5441349258802265,Code automatique
297,13.9.0.9,0.0797454168733152,Code automatique
298,09.7.4,0.4041166734215851,Code automatique
299,01.1.9.1,0.8739207530309255,Code automatique
300,01.1.4.6,0.9946724936015183,Code automatique
301,09.3.2.2,0.8491244133941654,Code automatique
302,01.1.9.3,0.9987848662565694,Code automatique
303,04.3.2,0.5081926517920476,Code automatique
304,09.3.1.2,0.5116577391415262,Code automatique
305,01.1.9.1,0.845407236862473,Code automatique
306,01.1.9.1,0.39998960504186504,Code automatique
307,05.2.1.9,0.2933278104796528,Code automatique
308,13.1.2,0.19193833543763886,Code automatique
309,08.3.3,0.04197424313460797,Code automatique
310,98.1.2,0.14902445704047892,Code automatique
311,01.1.4.6,0.9986795313684331,Code automatique
312,01.1.1.3,0.39543077738245314,Code automatique
313,01.1.9.1,0.5683290067760812,Code automatique
314,01.1.4.6,0.3809142294943356,Code automatique
315,01.1.4.5,0.9488166380312861,Code automatique
316,09.3.2.2,0.18161015116524315,Code automatique
317,08.3.9.2,0.2650128913304155,Code automatique
318,13.1.2,0.23090823946584835,Code automatique
319,09.3.1.2,0.9990918505181149,Code automatique
320,01.1.2.4,0.43720078672238427,Code automatique
321,01.1.7.9,0.07915188017205063,Code automatique
322,02.3.0.9,0.894292655195015,Code automatique
323,01.1.7.9,0.3595993591201857,Code automatique
324,01.1.3.1,0.31187747691018025,Code automatique
325,01.1.4.6,0.9966166251885913,Code automatique
326,05.6.1.1,0.052145055874188856,Code automatique
327,01.1.6.3,0.9391830392938977,Code automatique
328,01.1.7.2,0.9993944840880346,Code automatique
329,02.1.3,0.9969027777777779,Code automatique
330,01.1.6.2,0.9985946295322717,Code automatique
331,01.1.2.2,0.9601960655503848,Code automatique
332,01.1.9.1,0.1908327340360315,Code automatique
333,03.1.3.1,0.40664089567171124,Code automatique
334,07.2.2.1,0.9896596964827565,Code automatique
335,01.1.7.2,0.8252881663128255,Code automatique
336,01.1.1.3,0.4116793488998856,Code automatique
337,01.1.9.1,0.27875044034121754,Code automatique
338,01.1.9.1,0.24364587010250133,Code automatique
339,99.2,0.25715160277603116,Code automatique
340,01.1.7.9,0.6264392031302279,Code automatique
341,01.1.7.1,0.4915252860913676,Code automatique
342,01.1.1.3,0.6157935544906408,Code automatique
343,01.1.6.2,0.9976099083756852,Code automatique
344,01.1.6.5,0.14270550418905842,Code automatique
345,05.6.1.1,0.16076535862269503,Code automatique
346,01.1.4.5,0.9977914034339699,Code automatique
347,13.1.2,0.3464809815880884,Code automatique
348,06.1.1.1,0.04139921213715895,Code automatique
349,12.1.2,0.48000585999696427,Code automatique
350,03.1.2,0.42787864737249226,Code automatique
351,01.1.4.5,0.9165777578802133,Code automatique
352,06.2.3,0.4766416601133564,Code automatique
353,01.1.2.2,0.5053125339764826,Code automatique
354,01.1.7.2,0.998615581519255,Code automatique
355,05.6.1.1,0.9552445373549461,Code automatique
356,01.1.1.3,0.9997927940197603,Code automatique
357,01.1.7.9,0.5751741455573193,Code automatique
358,01.1.7.9,0.9133568475955685,Code automatique
359,01.2.2,0.7712400960792483,Code automatique
360,01.1.2.5,0.40876901239791535,Code automatique
361,07.2.2.2,0.10737362960129312,Code automatique
362,09.7.2.1,0.8759951142718924,Code automatique
363,13.1.2,0.5630643712632417,Code automatique
364,01.1.1.3,0.3928757763103239,Code automatique
365,13.1.2,0.057850415276698125,Code automatique
366,01.1.1.3,0.6089899716045798,Code automatique
367,01.1.1.1,0.05683530957200831,Code automatique
368,01.1.2.2,0.5763305217694752,Code automatique
369,08.2,0.3390362668472096,Code automatique
370,01.2.2,0.19605047372924353,Code automatique
371,01.2.3,0.24714187598017928,Code automatique
372,01.1.1.3,0.5525010842669298,Code automatique
373,04.3.1.1,0.5250071982821527,Code automatique
374,08.3.9.2,0.8912900497595069,Code automatique
375,05.5.2.2,0.022708660479477543,Code automatique
376,13.9.0.9,0.07838517213813705,Code automatique
377,01.1.1.5,0.11828486228858201,Code automatique
378,01.1.6.3,0.9993309215638578,Code automatique
379,01.1.9.1,0.6579377875107562,Code automatique
380,01.1.6.5,0.9942989679309083,Code automatique
381,01.1.9.1,0.3517053299566852,Code automatique
382,01.1.6.4,0.6745656294757261,Code automatique
383,03.1.2,0.7731027690888662,Code automatique
384,01.1.8.3,0.11296090875373141,Code automatique
385,11.1.1.1,0.47922666567133454,Code automatique
386,01.1.3.4,0.15690511665584247,Code automatique
387,13.1.2,0.6438406687072696,Code automatique
388,01.1.7.2,0.9994443778011224,Code automatique
389,01.1.1.3,0.9809493039548104,Code automatique
390,09.7.1,0.5055333452950169,Code automatique
391,06.1.1.1,0.6871180261972433,Code automatique
392,99.4,0.27683324425981587,Code automatique
393,09.3.2.2,0.3541175558756611,Code automatique
394,01.1.1.3,0.03217622759601416,Code automatique
395,08.3.3,0.8834234785078459,Code automatique
396,01.1.1.3,0.9083238527142987,Code automatique
397,11.1.1.1,0.98261519210028,Code automatique
398,01.1.9.3,0.3045709960563185,Code automatique
399,11.1.1.2,0.05424128760802232,Code automatique
400,01.1.2.5,0.5767176825987391,Code automatique
401,04.3.1.1,0.5116581192933511,Code automatique
402,05.6.1.1,0.04260532757385182,Code automatique
403,01.1.2.2,0.9937226499168975,Code automatique
404,01.1.1.3,0.9960821601888293,Code automatique
405,01.1.9.1,0.4492873001300278,Code automatique
406,01.1.4.2,0.9902694624522492,Code automatique
407,01.1.1.3,0.36631677771726845,Code automatique
408,01.1.6.3,0.9970983347872364,Code automatique
409,01.1.2.2,0.24748985307054908,Code automatique
410,05.6.1.1,0.9725051670785808,Code automatique
411,01.1.1.1,0.9987558501114184,Code automatique
412,01.1.3.1,0.4403272126613077,Code automatique
413,01.1.2.3,0.8775312206721618,Code automatique
414,05.6.1.1,0.9710390935551544,Code automatique
415,07.2.1.2,0.09516139198954847,Code automatique
416,05.1.1.4,0.666102239616696,Code automatique
